rank;title;platform;playtime_hours;playtime_is_minimum;playtime_original;rating;release_year;genre;game_url;cover_url;cover_source_url
1;Celeste;PC;400;FALSE;400;10;2018;Platform;https://www.igdb.com/games/celeste;https://cdn2.steamgriddb.com/grid/a7e862a941c24a7b2198b708a9f3f426.png;https://www.steamgriddb.com/search/grids?term=Celeste
2;Hollow Knight: Silksong;PC;100;FALSE;100;10;2025;Platform / Adventure;https://www.igdb.com/games/hollow-knight-silksong;https://cdn2.steamgriddb.com/grid/352b19056ce934568b956d68cbcde3b5.png;https://www.steamgriddb.com/search/grids?term=Hollow%20Knight%20Silksong
3;Custom Robo Arena;Nintendo DS;45;FALSE;45;9,9;2006;Fighting / RPG;https://www.igdb.com/games/custom-robo-arena;https://cdn2.steamgriddb.com/grid/5d06c54c3d86f8eeffd5654da9bf5b02.png;https://www.steamgriddb.com/search/grids?term=Custom%20Robo%20Arena
4;Call of Duty: Black Ops II;PlayStation 3;1000;FALSE;1000;9,9;2012;Shooter;https://www.igdb.com/games/call-of-duty-black-ops-ii;https://cdn2.steamgriddb.com/grid/9a1d4d4f8ae91d0f0b478cca17e68b43.png;https://www.steamgriddb.com/search/grids?term=Call%20of%20Duty%20Black%20Ops%20II
5;Hollow Knight;PC;100;FALSE;100;9,9;2017;Platform / Adventure;https://www.igdb.com/games/hollow-knight;https://cdn2.steamgriddb.com/grid/d18c832e8c956b4ef8b92862e6bf470d.png;https://www.steamgriddb.com/search/grids?term=Hollow%20Knight
6;Overwatch;PC;1500;FALSE;1500;9,9;2016;Shooter;https://www.igdb.com/games/overwatch;https://cdn2.steamgriddb.com/grid/20e29904d611f1e9dd8728bcae233854.png;https://www.steamgriddb.com/search/grids?term=Overwatch
7;Need for Speed: Most Wanted;PC;200;FALSE;200;9,9;2005;Racing;https://www.igdb.com/games/need-for-speed-most-wanted;https://cdn2.steamgriddb.com/grid/09e61768e56037a936fa0dbc5bf0e96f.png;https://www.steamgriddb.com/search/grids?term=Need%20for%20Speed%20Most%20Wanted%202005
8;Teamfight Tactics;PC;20000;FALSE;20000;9,7;2019;Strategy;https://www.igdb.com/games/teamfight-tactics;https://cdn2.steamgriddb.com/grid/fdf4a86a7010a62c270ca1f10552501a.png;https://www.steamgriddb.com/search/grids?term=Teamfight%20Tactics
9;The Legend of Zelda: Breath of the Wild;Nintendo Switch;90;FALSE;90;9,6;2017;Adventure;https://www.igdb.com/games/the-legend-of-zelda-breath-of-the-wild;https://cdn2.steamgriddb.com/grid/121b81f7d167ca2c24fdab4f044048f8.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20Breath%20of%20the%20Wild
10;Pokémon Platinum Version;Nintendo DS;75;FALSE;75;9,5;2008;Role-playing (RPG);https://www.igdb.com/games/pokemon-platinum-version;https://cdn2.steamgriddb.com/grid/293d4b3062d071218312a5eb322a3a47.png;https://www.steamgriddb.com/search/grids?term=Pokemon%20Platinum%20Version
